########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	3185
file                           	Q14-050_Q_BOA_148.0A_180425_124858.dat
date                           	25/04/2018
hour                           	12:48:58
operator                       	Lidia Toledo
software_version               	v3.2
bench                          	1
temperature(C)                 	23.38
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+1.479944e+02
main_coil_current_std(A)       	+8.255779e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-3_11-04-2018_r=13mm
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	282862
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  -6.734080e-05   	  +1.925537e-07   	  +6.351455e-05   	  +2.980353e-07   	  +9.256826e-05   	  +2.478692e-07   	  +0.000000e+00   	  +0.000000e+00   	  +1.072193e-03   	  +3.065823e-06   	  -1.011272e-03   	  +4.745289e-06   
2   	  -5.233881e+00   	  +1.696079e-05   	  +3.431863e-03   	  +2.353720e-05   	  +5.233883e+00   	  +1.696080e-05   	  -3.278506e-04   	  +2.248541e-06   	  +1.000000e+00   	  +4.582867e-06   	  -6.557013e-04   	  +4.497084e-06   
3   	  -1.066747e-01   	  +1.201748e-03   	  -1.955192e-01   	  +1.765024e-03   	  +2.227269e-01   	  +1.652867e-03   	  +0.000000e+00   	  +0.000000e+00   	  +2.445787e-04   	  +2.755313e-06   	  +4.482774e-04   	  +4.046764e-06   
4   	  -1.438365e+00   	  +1.271929e-01   	  +1.485980e+00   	  +1.946588e-01   	  +2.068098e+00   	  +1.654947e-01   	  +0.000000e+00   	  +0.000000e+00   	  +3.957381e-05   	  +3.499462e-06   	  -4.088383e-05   	  +5.355656e-06   
5   	  +1.991059e+01   	  +9.478044e+00   	  +1.666446e+02   	  +1.591039e+01   	  +1.678299e+02   	  +1.583800e+01   	  +0.000000e+00   	  +0.000000e+00   	  -6.573610e-06   	  +3.129238e-06   	  -5.501882e-05   	  +5.252920e-06   
6   	  +1.059974e+05   	  +9.569982e+02   	  -1.893223e+04   	  +1.364402e+03   	  +1.076749e+05   	  +9.721541e+02   	  +0.000000e+00   	  +0.000000e+00   	  -4.199487e-04   	  +3.791510e-06   	  +7.500716e-05   	  +5.405594e-06   
7   	  +2.084687e+05   	  +1.108148e+05   	  +3.930080e+05   	  +1.206108e+05   	  +4.448758e+05   	  +1.185291e+05   	  +0.000000e+00   	  +0.000000e+00   	  -9.911127e-06   	  +5.268419e-06   	  -1.868460e-05   	  +5.734141e-06   
8   	  -5.467000e+06   	  +7.505885e+06   	  -2.915501e+06   	  +1.149922e+07   	  +6.195824e+06   	  +8.552376e+06   	  +0.000000e+00   	  +0.000000e+00   	  +3.118977e-06   	  +4.282186e-06   	  +1.663328e-06   	  +6.560424e-06   
9   	  -3.503418e+09   	  +9.100131e+08   	  +9.581929e+08   	  +5.932845e+08   	  +3.632089e+09   	  +8.916198e+08   	  +0.000000e+00   	  +0.000000e+00   	  +2.398483e-05   	  +6.230064e-06   	  -6.559907e-06   	  +4.061700e-06   
10  	  -1.872947e+13   	  +7.015018e+10   	  +6.554970e+11   	  +6.714935e+10   	  +1.874094e+13   	  +7.014659e+10   	  +0.000000e+00   	  +0.000000e+00   	  +1.538692e-03   	  +5.763085e-06   	  -5.385138e-05   	  +5.516554e-06   
11  	  -1.070865e+12   	  +4.687729e+12   	  -6.339046e+12   	  +5.557816e+12   	  +6.428861e+12   	  +5.535520e+12   	  +0.000000e+00   	  +0.000000e+00   	  +1.055711e-06   	  +4.621361e-06   	  +6.249299e-06   	  +5.479129e-06   
12  	  +3.965686e+14   	  +7.742471e+14   	  -1.186326e+14   	  +3.181944e+14   	  +4.139328e+14   	  +7.473528e+14   	  +0.000000e+00   	  +0.000000e+00   	  -4.691457e-06   	  +9.159425e-06   	  +1.403438e-06   	  +3.764273e-06   
13  	  +7.868492e+16   	  +4.313343e+16   	  -8.694364e+16   	  +3.487014e+16   	  +1.172626e+17   	  +3.880914e+16   	  +0.000000e+00   	  +0.000000e+00   	  -1.117022e-05   	  +6.123276e-06   	  +1.234263e-05   	  +4.950209e-06   
14  	  +3.935836e+20   	  +3.016525e+18   	  -6.898822e+18   	  +6.167446e+18   	  +3.936441e+20   	  +3.017998e+18   	  +0.000000e+00   	  +0.000000e+00   	  -6.704835e-04   	  +5.138756e-06   	  +1.175239e-05   	  +1.050646e-05   
15  	  +2.001599e+20   	  +3.840813e+20   	  +1.522167e+20   	  +3.241423e+20   	  +2.514635e+20   	  +3.632685e+20   	  +0.000000e+00   	  +0.000000e+00   	  -4.091758e-06   	  +7.851552e-06   	  -3.111683e-06   	  +6.626254e-06   

magnetic_center_x(um) 	-12.866
magnetic_center_y(um) 	12.135


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
2.13631628867e-05	2.14361189137e-05	2.15798845602e-05	2.163288263546e-05	2.135257454938e-05	2.151791341021e-05	2.15217078221e-05	2.155045876862e-05	2.15704603761e-05	2.164263423765e-05
6.520947499666e-05	6.511215906357e-05	6.513058178825e-05	6.499683513539e-05	6.522616604343e-05	6.514444248751e-05	6.518673762912e-05	6.491450039903e-05	6.524153286591e-05	6.514417327708e-05
0.0001085889380192	0.0001085394760594	0.000108573352918	0.0001083096576622	0.0001084400064428	0.0001086342599592	0.0001084474497475	0.0001085428521037	0.0001083498136722	0.0001083514653146
0.0001497227785876	0.0001501145889051	0.0001498453348177	0.0001501086371718	0.0001501261576777	0.0001498727942817	0.0001499851059634	0.0001500710932305	0.0001498819910921	0.0001501621300122
0.0001901224895846	0.0001900002534967	0.0001900564384414	0.0001901036448544	0.0001900081260828	0.0001899407798192	0.0001902573712869	0.0001901714422274	0.0001903374795802	0.0001899783528643
0.0002286137168994	0.0002283054200234	0.0002283892390551	0.00022814773547	0.0002284869551659	0.0002284145739395	0.0002283056674059	0.0002280914923176	0.0002283652574988	0.0002282400528202
0.0002627150097396	0.0002628628280945	0.0002629103837535	0.0002630340750329	0.0002626715868246	0.00026276850258	0.0002627021167427	0.0002628008078318	0.00026256593992	0.0002629670198075
0.0002949907502625	0.0002952913637273	0.0002952096110675	0.0002954497176688	0.0002952367940452	0.0002952898212243	0.0002954576339107	0.0002954723313451	0.000295458099572	0.0002953574003186
0.0003234790056013	0.0003231198352296	0.0003232174494769	0.0003229022549931	0.0003232341550756	0.0003232156159356	0.0003232202725485	0.0003231685550418	0.000323213491356	0.00032306482899
0.0003482413012534	0.0003481453459244	0.0003480883606244	0.0003482257016003	0.0003482287866063	0.0003481085295789	0.0003479089937173	0.0003480399027467	0.0003479399601929	0.0003482027095743
0.0003694934712257	0.0003699726075865	0.0003697688225657	0.0003702149260789	0.0003696678904817	0.0003698254586197	0.0003699461522046	0.0003698183281813	0.0003699202788994	0.0003699659719132
0.0003893465618603	0.0003891005180776	0.0003892898093909	0.0003887637285516	0.0003891949891113	0.0003894632100128	0.000389411667129	0.0003894098626915	0.0003893895773217	0.000388955231756
0.0004060877545271	0.0004057722399011	0.0004057642654516	0.0004056944453623	0.000405896891607	0.000405391008826	0.0004053980519529	0.0004056385660078	0.0004055510798935	0.0004057958140038
0.000413278787164	0.0004138484655414	0.0004137203504797	0.0004139363591094	0.0004139169759583	0.0004136574279983	0.0004137342330068	0.0004136045463383	0.0004135152266826	0.0004138028598391
0.0004173055058345	0.0004171682230663	0.0004173659835942	0.0004174230271019	0.0004170892643742	0.0004176760558039	0.0004177953815088	0.000417435890995	0.0004177509690635	0.0004175634821877
0.0004187898593955	0.0004183503624517	0.000418519921368	0.0004182905540802	0.0004183467826806	0.0004182195407338	0.0004180775140412	0.0004188932070974	0.0004184631397948	0.0004180103424005
0.0004154924827162	0.0004158795927651	0.0004154837515671	0.0004154898051638	0.0004160007229075	0.0004156995273661	0.000415624352172	0.000415189890191	0.0004153817717452	0.0004157824732829
0.0004045448149554	0.0004046982503496	0.0004048730770592	0.0004049357958138	0.0004045039531775	0.0004048951668665	0.0004047989787068	0.000404549355153	0.0004048604751006	0.0004049873678014
0.0003890991501976	0.000388668733649	0.0003887644561473	0.0003888859937433	0.0003885104670189	0.000388799526263	0.0003886632621288	0.0003890647203662	0.0003889232175425	0.0003885395999532
0.0003710829187185	0.0003711215686053	0.0003709900774993	0.000370721129002	0.0003715553320944	0.0003708535805345	0.0003712123434525	0.0003710819582921	0.0003706475836225	0.0003708272706717
0.0003478266589809	0.0003482516913209	0.0003479992446955	0.0003481605963316	0.0003479610895738	0.0003482458705548	0.0003481899038889	0.0003479175502434	0.0003481832100078	0.0003483813779894
0.0003236244956497	0.0003234100295231	0.0003237340715714	0.0003239290090278	0.0003232408489566	0.00032337725861	0.0003235171025153	0.0003237811906729	0.0003239583747927	0.0003239019424655
0.000295319390716	0.0002951373753604	0.0002951626956929	0.0002947211905848	0.0002953905786853	0.0002952256472781	0.0002950464840978	0.0002949846093543	0.0002949885092676	0.0002948775945697
0.0002633297990542	0.0002635225537233	0.0002634952543303	0.0002635728160385	0.000263631605776	0.0002634658303577	0.0002635502023622	0.0002636680146679	0.0002633280528244	0.0002633223775774
0.0002290954580531	0.0002291616256116	0.0002291232376592	0.0002292260760441	0.0002290481497766	0.000229125507758	0.0002291792188771	0.0002291425480507	0.0002293464058312	0.0002292892604601
0.0001906975667225	0.0001904134551296	0.0001905227982206	0.0001905556418933	0.0001904807868414	0.000190504200873	0.0001904016826302	0.000190428327187	0.0001905027893372	0.0001906133547891
0.0001503260427853	0.0001504264655523	0.0001503623934695	0.0001504353567725	0.0001503560197307	0.0001504868123448	0.0001505163818365	0.0001504166430095	0.0001502295490354	0.0001502994127804
0.0001086736738216	0.0001088258504751	0.0001086237753043	0.0001085253534256	0.0001087523851311	0.000108819695015	0.0001088201170205	0.0001086695629056	0.0001086923803086	0.0001085561380023
6.644712266279e-05	6.666994158877e-05	6.656966434093e-05	6.66539199301e-05	6.658701749984e-05	6.658312486252e-05	6.657642370556e-05	6.674827454844e-05	6.667687557638e-05	6.670386210317e-05
2.310495074198e-05	2.275108454342e-05	2.293900615769e-05	2.31366357184e-05	2.288578980369e-05	2.292644239787e-05	2.294328442076e-05	2.29258548643e-05	2.299596599187e-05	2.318199403817e-05
-2.11212936847e-05	-2.132921508746e-05	-2.100767414959e-05	-2.130706343451e-05	-2.113539812854e-05	-2.133561793016e-05	-2.141159893654e-05	-2.131710061803e-05	-2.131499422831e-05	-2.130127541022e-05
-6.504911289085e-05	-6.460781878559e-05	-6.485163612524e-05	-6.496546120616e-05	-6.478631257778e-05	-6.494663102785e-05	-6.479662260972e-05	-6.493669934571e-05	-6.494005356217e-05	-6.50460133329e-05
-0.0001072221493814	-0.0001072041632142	-0.0001072872328223	-0.0001070652942872	-0.0001071912847692	-0.0001070413200068	-0.0001071317019523	-0.0001070589423762	-0.0001069296122296	-0.0001069649370038
-0.0001484715321567	-0.0001488382695243	-0.0001486163382651	-0.0001485364191467	-0.0001486889232183	-0.0001487001864007	-0.0001486794353696	-0.0001484857493779	-0.0001485361135565	-0.0001486169494456
