########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	40794
file                           	Q14-003_Q_BOA_002.0A_201002_090755.dat
date                           	02/10/2020
hour                           	09:07:55
operator                       	Lucas Balthazar
software_version               	v3.6
bench                          	1
temperature(C)                 	23.368
integrator_gain                	50
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+1.987550e+00
main_coil_current_std(A)       	+6.048053e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_2020-08-06_r=13mm_b1_CALIBRATED
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	232469
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.0129575
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	Etapa 4 - Medida 2
Main = 150A
Trim = 0.0A
Fator = 1.5%
Rampas de excitação M2



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +1.497034e-05   	  +7.866353e-07   	  -6.380784e-06   	  +4.849157e-07   	  +1.627346e-05   	  +7.482060e-07   	  -4.029107e-01   	  +3.332629e-02   	  -1.332764e-02   	  +7.003291e-04   	  +5.680608e-03   	  +4.317090e-04   
2   	  -9.360462e-02   	  +2.844532e-05   	  -1.321619e-04   	  +6.021224e-05   	  +9.360472e-02   	  +2.844542e-05   	  +7.059580e-04   	  +3.216301e-04   	  +1.000000e+00   	  +4.297625e-04   	  +1.411924e-03   	  +6.432616e-04   
3   	  -1.766840e-02   	  +2.037997e-03   	  -4.995783e-03   	  +1.598838e-03   	  +1.836111e-02   	  +2.008780e-03   	  +9.185305e-02   	  +2.968949e-02   	  +2.265087e-03   	  +2.612697e-04   	  +6.404932e-04   	  +2.049691e-04   
4   	  -2.929484e-01   	  +7.551765e-02   	  +8.859858e-02   	  +1.452213e-01   	  +3.060531e-01   	  +8.362018e-02   	  -7.342287e-02   	  +1.149406e-01   	  +4.506766e-04   	  +1.161753e-04   	  -1.363124e-04   	  +2.234063e-04   
5   	  -1.156685e+01   	  +6.245014e+00   	  -4.730342e+00   	  +5.523723e+00   	  +1.249673e+01   	  +6.146863e+00   	  +7.764075e-02   	  +9.014749e-02   	  +2.135443e-04   	  +1.152869e-04   	  +8.733303e-05   	  +1.019714e-04   
6   	  -1.833828e+03   	  +4.605750e+02   	  +2.898668e+02   	  +3.789770e+02   	  +1.856595e+03   	  +4.587586e+02   	  -2.612825e-02   	  +3.421799e-02   	  +4.062493e-04   	  +1.020301e-04   	  -6.419918e-05   	  +8.395383e-05   
7   	  +5.989081e+04   	  +2.306255e+04   	  +1.319233e+04   	  +4.275692e+04   	  +6.132656e+04   	  +2.432830e+04   	  +3.097295e-02   	  +9.795246e-02   	  -1.592161e-04   	  +6.130789e-05   	  -3.507570e-05   	  +1.136620e-04   
8   	  -3.596012e+06   	  +2.937583e+06   	  -8.438324e+05   	  +1.927959e+06   	  +3.693691e+06   	  +2.893616e+06   	  +2.881096e-02   	  +6.745758e-02   	  +1.147066e-04   	  +9.370880e-05   	  +2.692466e-05   	  +6.150181e-05   
9   	  +2.493775e+08   	  +1.703614e+08   	  +1.128444e+08   	  +2.445148e+08   	  +2.737206e+08   	  +1.850722e+08   	  +4.721495e-02   	  +9.481616e-02   	  -9.546235e-05   	  +6.521428e-05   	  -4.317724e-05   	  +9.360017e-05   
10  	  -3.287651e+11   	  +1.881096e+10   	  -1.069507e+10   	  +9.336139e+09   	  +3.289390e+11   	  +1.880346e+10   	  +3.251956e-03   	  +2.842845e-03   	  +1.510225e-03   	  +8.641113e-05   	  +4.912734e-05   	  +4.288644e-05   
11  	  -3.692235e+11   	  +1.928104e+12   	  +6.952265e+11   	  +1.380641e+12   	  +7.871886e+11   	  +1.518117e+12   	  -9.841746e-02   	  +2.103958e-01   	  +2.034082e-05   	  +1.062831e-04   	  -3.832305e-05   	  +7.610526e-05   
12  	  -1.578150e+13   	  +1.201044e+14   	  -1.343532e+13   	  +1.473036e+14   	  +2.072591e+13   	  +1.322172e+14   	  +5.877231e-02   	  +5.489741e-01   	  +1.044169e-05   	  +7.944640e-05   	  +8.898755e-06   	  +9.743805e-05   
13  	  -3.301828e+15   	  +6.911091e+15   	  -7.837498e+14   	  +8.746613e+15   	  +3.393572e+15   	  +7.021121e+15   	  +1.792733e-02   	  +1.962656e-01   	  +2.621358e-05   	  +5.485839e-05   	  +6.215412e-06   	  +6.942827e-05   
14  	  +7.924752e+18   	  +5.377222e+17   	  -3.919484e+16   	  +5.895513e+17   	  +7.924849e+18   	  +5.377235e+17   	  -3.532740e-04   	  +5.313757e-03   	  -7.548595e-04   	  +5.122005e-05   	  +3.730190e-06   	  +5.615640e-05   
15  	  +1.869036e+19   	  +5.369605e+19   	  -1.989191e+19   	  +5.536134e+19   	  +2.729501e+19   	  +5.458683e+19   	  -5.443537e-02   	  +1.330725e-01   	  -2.135699e-05   	  +6.137637e-05   	  +2.272909e-05   	  +6.327986e-05   

magnetic_center_x(um) 	159.932
magnetic_center_y(um) 	-68.167


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
8.32986911234485e-07	7.901558777234695e-07	8.172802131412215e-07	8.251870053754545e-07	8.297537243607165e-07	8.54039999751398e-07	8.19881040285979e-07	8.191374828925164e-07	8.066330087785805e-07	7.854975578425054e-07
1.61359266769498e-06	1.557406380357165e-06	1.564761663530735e-06	1.5572745780902848e-06	1.5821093950304548e-06	1.52607439474687e-06	1.5380000922955298e-06	1.576488929799535e-06	1.543400289847585e-06	1.6149505557900699e-06
2.306078978336185e-06	2.421823317035555e-06	2.3225319773704e-06	2.36327578704764e-06	2.3303397779273047e-06	2.35199431926934e-06	2.3589640500176403e-06	2.359481180747385e-06	2.357772566483935e-06	2.3166428684363398e-06
3.1199598799961946e-06	3.0250364920901748e-06	3.1229157445976746e-06	3.070187223102235e-06	3.0218669667189997e-06	3.08400440076224e-06	3.07089718603497e-06	3.09212619754375e-06	3.05897428802376e-06	3.0865425742372947e-06
3.7702104509662604e-06	3.8080723038543403e-06	3.7619914542123747e-06	3.760923150366855e-06	3.87107356345959e-06	3.76380913849014e-06	3.7727045037175096e-06	3.773694868414615e-06	3.7880629952270047e-06	3.798790826295195e-06
4.45041720240594e-06	4.448944421256275e-06	4.45757730176388e-06	4.49303513505544e-06	4.423064144702875e-06	4.463109637526915e-06	4.44357737023866e-06	4.44350838961304e-06	4.48947636186897e-06	4.44144524180951e-06
5.110897286613599e-06	5.05006846879057e-06	5.08757959551029e-06	5.08950926132447e-06	5.0447896592235195e-06	5.089807580134429e-06	5.07075101040787e-06	5.110275117203665e-06	5.0383641587357545e-06	5.11078351337302e-06
5.5965240267140795e-06	5.628031151445165e-06	5.6431692632941e-06	5.60907760473124e-06	5.644976197344904e-06	5.611131794011975e-06	5.64058428153653e-06	5.624073276067045e-06	5.634293606817469e-06	5.635972881919185e-06
6.136841652732825e-06	6.15711747741405e-06	6.099544634707609e-06	6.1586171341330844e-06	6.15190899225099e-06	6.109203266077705e-06	6.13941230085412e-06	6.11459943229465e-06	6.131748284587729e-06	6.10829352808674e-06
6.56042121590917e-06	6.53695033406577e-06	6.592688471300445e-06	6.55812604236456e-06	6.536527939716035e-06	6.58962823990796e-06	6.518384691389755e-06	6.579467483334565e-06	6.54224482104845e-06	6.582711812370635e-06
6.93976404136292e-06	6.93584020837083e-06	6.927354247636275e-06	6.908450868649805e-06	6.96542841751568e-06	6.90556756808326e-06	6.948017528429615e-06	6.940635257705965e-06	6.914556997799484e-06	6.9466965942406845e-06
7.235780062728535e-06	7.271174738434735e-06	7.25651053244333e-06	7.281973341832709e-06	7.2222777771457105e-06	7.267989535648915e-06	7.277086915564475e-06	7.23379754163016e-06	7.28092474673793e-06	7.2536872539786245e-06
7.579188013551645e-06	7.508605604016105e-06	7.553597993136999e-06	7.5511532122616145e-06	7.543595802417175e-06	7.5474569257497e-06	7.516816090173974e-06	7.5763544327857746e-06	7.512035374475115e-06	7.547423779215261e-06
7.664644258511204e-06	7.67166863624885e-06	7.68867997521747e-06	7.65190523907209e-06	7.69486673107132e-06	7.653093139197465e-06	7.683838789489989e-06	7.67265228205312e-06	7.688639661864399e-06	7.699656853219754e-06
7.748430634819609e-06	7.757275384392745e-06	7.71516316035586e-06	7.770835004521654e-06	7.734402483947635e-06	7.736555216979114e-06	7.755997899039418e-06	7.734903265372564e-06	7.75053409597621e-06	7.71960837937521e-06
7.74766199356242e-06	7.697943983657804e-06	7.756205736768855e-06	7.7211143070603e-06	7.71715553582862e-06	7.74690589423734e-06	7.711141679464614e-06	7.752429719403374e-06	7.726624694441651e-06	7.744769286546299e-06
7.662839116164566e-06	7.67441531934351e-06	7.651136597814899e-06	7.660362084607315e-06	7.697616997575294e-06	7.628457201462949e-06	7.680705098209995e-06	7.665307189200005e-06	7.64500717650615e-06	7.67634319345254e-06
7.46093148109106e-06	7.46586852301353e-06	7.454274402788995e-06	7.495880022361675e-06	7.458729028257919e-06	7.504405848521535e-06	7.47899858197309e-06	7.46708150700214e-06	7.510648147217305e-06	7.466449931143615e-06
7.224305986710634e-06	7.176062549660835e-06	7.204839116638685e-06	7.174243521603715e-06	7.185077511167075e-06	7.19579593578569e-06	7.18602218739763e-06	7.2256170665241946e-06	7.164838416429605e-06	7.20037239716443e-06
6.842906284418425e-06	6.8362245701789195e-06	6.84945317289021e-06	6.83156165905575e-06	6.87385887658781e-06	6.8422675417422546e-06	6.878481922285675e-06	6.85190556851002e-06	6.85692637262018e-06	6.871115776903449e-06
6.465929404840055e-06	6.47589844902544e-06	6.414554068214425e-06	6.50196999004007e-06	6.449198915561599e-06	6.452697666645245e-06	6.4543357325423e-06	6.439454282371885e-06	6.45255343442795e-06	6.42013343622238e-06
6.023867961175385e-06	5.982734007830275e-06	6.04063876380691e-06	5.989830501676076e-06	6.002383183840661e-06	6.025727302585575e-06	6.015875615048115e-06	6.04891509510688e-06	6.00101387362844e-06	6.016864188041055e-06
5.512972363703495e-06	5.496441649484255e-06	5.486217287397735e-06	5.50004163187637e-06	5.532243042125545e-06	5.498468963196604e-06	5.5288334283430696e-06	5.53591379684843e-06	5.474168970067395e-06	5.50863285525352e-06
4.92130627662849e-06	4.9560671368452195e-06	4.93882108457878e-06	4.9582651104174546e-06	4.918241565974115e-06	4.96261760872632e-06	4.93699802518655e-06	4.907769052806075e-06	4.96185703013935e-06	4.927223380945915e-06
4.360560083114225e-06	4.27794996085166e-06	4.316518641189941e-06	4.31096659667715e-06	4.339608785813075e-06	4.326299556396629e-06	4.321715480273465e-06	4.355960329576415e-06	4.293540030175455e-06	4.307586993945595e-06
3.59157369871355e-06	3.64539538395534e-06	3.6267504583515553e-06	3.59246104039802e-06	3.64648451636658e-06	3.6152009067795746e-06	3.641331574044455e-06	3.62809737225728e-06	3.6249739832784496e-06	3.6588183866113803e-06
2.90325836431267e-06	2.9259133486905702e-06	2.930279060819745e-06	2.942426593791e-06	2.88920916091257e-06	2.9065340481790152e-06	2.92776910669046e-06	2.915699288905215e-06	2.93708104322829e-06	2.882935731349915e-06
2.1899798821323598e-06	2.1482403326445347e-06	2.148823756442175e-06	2.173311430624285e-06	2.1630754224592148e-06	2.1973664081545103e-06	2.17580593130133e-06	2.18451563114237e-06	2.174157339140705e-06	2.170298455439125e-06
1.447032676082755e-06	1.444491255142485e-06	1.4271201195019999e-06	1.384015851044555e-06	1.42796815566767e-06	1.36660596979276e-06	1.4455170060049749e-06	1.43135100586247e-06	1.36975802604414e-06	1.40464934474938e-06
