########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	40954
file                           	Q14-003_Q_BOA_120.0A_201002_125346.dat
date                           	02/10/2020
hour                           	12:53:46
operator                       	Lucas Balthazar
software_version               	v3.6
bench                          	1
temperature(C)                 	23.542
integrator_gain                	50
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+1.199882e+02
main_coil_current_std(A)       	+4.442617e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+1.996550e+00
trim_coil_current_std(A)   	+2.444214e-02

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_2020-08-06_r=13mm_b1_CALIBRATED
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	232469
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.0129575
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	Etapa 5 - Medida 5
Main = 120A
Trim = -10 a 10A
Fator = 1.5%
Rampas de excitação M5



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +5.991090e-05   	  +4.086868e-07   	  +1.926743e-05   	  +1.974864e-07   	  +6.293290e-05   	  +3.937320e-07   	  +3.111548e-01   	  +3.588486e-03   	  -1.141517e-03   	  +7.786950e-06   	  -3.671133e-04   	  +3.762822e-06   
2   	  -4.373633e+00   	  +3.964079e-05   	  +2.713302e-03   	  +1.549810e-05   	  +4.373634e+00   	  +3.964079e-05   	  -3.101885e-04   	  +1.771766e-06   	  +1.000000e+00   	  +1.281784e-05   	  -6.203770e-04   	  +3.543533e-06   
3   	  -1.657724e-02   	  +1.657141e-03   	  +1.935689e-02   	  +1.546484e-03   	  +2.548517e-02   	  +1.594242e-03   	  -2.875328e-01   	  +2.107434e-02   	  +4.548320e-05   	  +4.546722e-06   	  -5.310975e-05   	  +4.243111e-06   
4   	  -3.608336e+00   	  +1.128299e-01   	  -2.532140e+00   	  +8.731880e-02   	  +4.408154e+00   	  +1.050990e-01   	  +1.529744e-01   	  +5.471961e-03   	  +1.188029e-04   	  +3.714876e-06   	  +8.336959e-05   	  +2.874934e-06   
5   	  +1.869674e+01   	  +6.404352e+00   	  -6.604990e+01   	  +5.475616e+00   	  +6.864515e+01   	  +5.549853e+00   	  -2.589886e-01   	  +1.847218e-02   	  -7.387001e-06   	  +2.530326e-06   	  +2.609596e-05   	  +2.163388e-06   
6   	  +9.613624e+04   	  +4.546565e+02   	  -1.927882e+03   	  +1.023950e+03   	  +9.615557e+04   	  +4.550285e+02   	  -3.341826e-03   	  +1.774529e-03   	  -4.557952e-04   	  +2.155593e-06   	  +9.140382e-06   	  +4.854690e-06   
7   	  +1.634680e+05   	  +4.904239e+04   	  -1.427693e+05   	  +2.284386e+04   	  +2.170365e+05   	  +3.987748e+04   	  -1.025587e-01   	  +2.406577e-02   	  -9.300297e-06   	  +2.790201e-06   	  +8.122665e-06   	  +1.299670e-06   
8   	  +1.382830e+07   	  +7.055610e+06   	  +2.547200e+07   	  +5.697265e+06   	  +2.898353e+07   	  +6.033413e+06   	  +1.341793e-01   	  +2.919937e-02   	  -9.440934e-06   	  +4.817034e-06   	  -1.739035e-05   	  +3.889659e-06   
9   	  +1.470375e+09   	  +3.212022e+08   	  +2.149220e+09   	  +3.926765e+08   	  +2.604064e+09   	  +3.713854e+08   	  +1.078657e-01   	  +1.474613e-02   	  -1.204631e-05   	  +2.631509e-06   	  -1.760788e-05   	  +3.217076e-06   
10  	  -1.644689e+13   	  +3.477810e+10   	  +1.059430e+11   	  +3.404894e+10   	  +1.644723e+13   	  +3.477807e+10   	  -6.441434e-04   	  +2.070196e-04   	  +1.616930e-03   	  +3.419144e-06   	  -1.041551e-05   	  +3.347428e-06   
11  	  -2.824281e+11   	  +2.573625e+12   	  +6.007683e+12   	  +2.739456e+12   	  +6.014318e+12   	  +2.739102e+12   	  -1.385291e-01   	  +3.890719e-02   	  +3.331778e-07   	  +3.036226e-06   	  -7.087545e-06   	  +3.231865e-06   
12  	  -6.807527e+14   	  +2.554108e+14   	  -4.705720e+14   	  +2.244335e+14   	  +8.275641e+14   	  +2.458222e+14   	  +5.040259e-02   	  +2.365343e-02   	  +9.637414e-06   	  +3.615841e-06   	  +6.661873e-06   	  +3.177296e-06   
13  	  -6.008264e+16   	  +1.531544e+16   	  -6.080079e+16   	  +1.665274e+16   	  +8.547900e+16   	  +1.600601e+16   	  +6.087223e-02   	  +1.438962e-02   	  +1.020705e-05   	  +2.601842e-06   	  +1.032905e-05   	  +2.829026e-06   
14  	  +3.538407e+20   	  +1.477300e+18   	  -2.847930e+18   	  +1.675593e+18   	  +3.538522e+20   	  +1.477314e+18   	  -5.748890e-04   	  +3.382325e-04   	  -7.213406e-04   	  +3.011634e-06   	  +5.805813e-06   	  +3.415868e-06   
15  	  -1.026262e+20   	  +9.510524e+19   	  -1.188751e+20   	  +7.278633e+19   	  +1.570460e+20   	  +8.305430e+19   	  +5.724167e-02   	  +3.662770e-02   	  +2.510568e-06   	  +2.326581e-06   	  +2.908067e-06   	  +1.780589e-06   

magnetic_center_x(um) 	13.698
magnetic_center_y(um) 	4.405


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
1.824101089368795e-05	1.8226643214798398e-05	1.82318857423534e-05	1.8249476697744e-05	1.8266608976773798e-05	1.8233602195325652e-05	1.82374113592236e-05	1.821928110076015e-05	1.8307569134772546e-05	1.8161645548387252e-05
5.405447604061445e-05	5.409607225374445e-05	5.404534551416445e-05	5.412255364717375e-05	5.4081226189737445e-05	5.41407466153076e-05	5.40586542956551e-05	5.411245560025795e-05	5.4059897738625346e-05	5.41638739377993e-05
9.00204904974138e-05	9.000371297588551e-05	9.009745495859165e-05	8.999300574941569e-05	9.003144856251595e-05	8.997400651424015e-05	9.006396441691061e-05	9.000129059132055e-05	8.998272853205385e-05	8.9984556070706e-05
0.00012433364674510348	0.0001243346931005565	0.0001243255625741065	0.00012431598770489748	0.0001243456153315655	0.00012439255799112948	0.0001243328297277915	0.0001243635610443985	0.00012438349913278701	0.000124352696147974
0.00015741314273323348	0.000157419392198807	0.000157357098214561	0.000157446411103604	0.0001574407063162385	0.0001573855504829855	0.00015740421287778	0.0001574247099778995	0.000157393075642153	0.0001574118240386765
0.00018911513325290001	0.000189091425418117	0.000189200045715513	0.00018910454069557948	0.00018905278193416801	0.0001891279045230525	0.000189175434861689	0.0001891194476775025	0.000189116021938418	0.00018906839126433248
0.000217882469369245	0.0002178831860510095	0.00021782136507686402	0.0002178670320427355	0.0002179064495430335	0.00021783945412610898	0.000217883143050145	0.0002178670750436	0.000217895111636607	0.000217840471814319
0.00024425540017541795	0.000244314856099652	0.00024434621809629455	0.0002443741973548155	0.0002443076319468315	0.00024435994972007253	0.000244273403222934	0.0002443644791491945	0.0002443149134342365	0.0002444156215642905
0.000267643480183276	0.00026761676228492445	0.0002676122901902885	0.00026756375649706346	0.000267627827852247	0.000267621263046705	0.00026766406328532146	0.00026756785591714653	0.000267591133742792	0.000267577344784528
0.000288790410122595	0.0002887050103163585	0.00028873465227664797	0.000288740357063915	0.0002887607108278195	0.000288687609281635	0.0002886896159907135	0.000288743682467649	0.0002887483265658415	0.0002887360856402755
0.000306188750109887	0.0003062984310963575	0.00030630726061646045	0.000306351752224187	0.0003062584689178515	0.0003063799321535075	0.000306367261218804	0.00030635929171697596	0.000306306257261872	0.000306350118189563
0.00032207600947008696	0.000322099172626662	0.000322004111949389	0.000322044647473346	0.000322079994221001	0.0003220045992930125	0.000322047112858805	0.00032201652487861	0.0003221094641776355	0.00032198808694370847
0.000335823887580778	0.00033578991686226446	0.000335846448724659	0.000335879272752172	0.000335921585647165	0.00033584054326639553	0.0003358323157589865	0.000335804508504219	0.000335772085818502	0.000335829334362661
0.00034266372691491796	0.00034265988550031753	0.0003426276921527415	0.0003425617860921345	0.000342663784249404	0.00034270090836799647	0.0003426600288367295	0.00034269632160429	0.0003427144393208765	0.000342720230109971
0.0003463949158322215	0.0003462337770906865	0.0003463604577700845	0.0003463506822299775	0.0003462510921235825	0.000346281364763809	0.0003462650530855015	0.00034632038092240945	0.0003462874708929705	0.0003462416892580285
0.00034631252608965197	0.000346373415377415	0.000346412574872329	0.0003463514275790835	0.0003464043760322615	0.0003463527462736405	0.00034638631565025947	0.0003463685992755675	0.0003463046139222115	0.000346389039041201
0.0003432797866116705	0.00034344511077501747	0.000343294951599076	0.0003433863715326465	0.0003432904795045385	0.000343355525546969	0.0003433626063633775	0.0003433194907847925	0.0003434038012347115	0.0003433286929794485
0.0003353313264961015	0.0003352462133625905	0.0003354023066640385	0.00033525082879354	0.000335395627189426	0.0003352695485228205	0.000335289844952042	0.0003353928751312415	0.000335280384752002	0.00033532851710333246
0.00032211892437767546	0.00032205126961347245	0.0003219980344874705	0.00032207899086641247	0.00032204350078244404	0.000322114882292177	0.000322104476072133	0.0003220558563770805	0.000322075264120981	0.0003220514702843705
0.00030685887628347647	0.00030686397905814797	0.00030686876649265403	0.0003068754459672665	0.0003068399845506395	0.000306850677443409	0.0003068597649689945	0.000306843166617863	0.000306876793329165	0.000306887400220107
0.000288178421178584	0.000288221479422683	0.0002882110732025405	0.00028823764776457847	0.000288261269597534	0.000288236357737363	0.000288285751448666	0.00028819410217695453	0.0002882012689951905	0.0002881933281606055
0.00026793614437339803	0.00026793144294062104	0.00026798734412298	0.000267929780238754	0.00026793643104612347	0.00026793898243341	0.0002678968702094135	0.000267980033968332	0.000267969627748288	0.00026791103184223053
0.00024424602597720546	0.000244267813104639	0.00024420107569309853	0.0002442113672441705	0.00024423034497883495	0.0002442819747375545	0.000244209274533166	0.00024425227544268047	0.0002442347597388865	0.00024431336540144
0.0002181666193792325	0.000218110259520493	0.00021817146414832302	0.0002181348847079385	0.00021817940498290798	0.000218119146375082	0.000218195544657659	0.000218126685867871	0.000218174574547439	0.00021812506616696698
0.0001895134793448585	0.000189477817257235	0.0001894449645623805	0.000189500751075669	0.000189549141432482	0.00018946764037533202	0.0001894707077735835	0.0001894595132034705	0.000189506900205695	0.000189450497346091
0.0001572932991984815	0.00015735959226726302	0.00015738423178842848	0.00015737951602202998	0.00015729754195487798	0.000157359635268226	0.000157334006726192	0.000157441035989927	0.00015725355202449498	0.000157360079610985
0.0001244747183954595	0.00012443663392334	0.00012448092486007	0.0001244106040394115	0.0001244845942710155	0.0001244225152913875	0.000124439242645211	0.0001244330648478435	0.0001245426311652435	0.00012443494255423
8.985413431218606e-05	8.990395086584535e-05	8.989079975435864e-05	8.988791152660245e-05	8.98991275971674e-05	8.993440984340744e-05	8.99161129564143e-05	8.987977718789081e-05	8.985000622487974e-05	8.987620094558354e-05
5.449432517707455e-05	5.4452721797133795e-05	5.4446311078205154e-05	5.454929467305105e-05	5.4454509918282496e-05	5.44615656508583e-05	5.44669586815868e-05	5.45176746709359e-05	5.446849238069285e-05	5.443448582809605e-05
1.84978427841972e-05	1.8475140095688148e-05	1.8496479297031152e-05	1.84378278481731e-05	1.853237251453035e-05	1.849140877311145e-05	1.850517264756245e-05	1.847993828050385e-05	1.84870047633007e-05	1.84974306921506e-05
-1.793343076314675e-05	-1.7890795361384348e-05	-1.7913249002956352e-05	-1.7919276297110952e-05	-1.795934239453535e-05	-1.7950767296494702e-05	-1.793390198145345e-05	-1.79071607908562e-05	-1.7950181409107648e-05	-1.79390405901393e-05
-5.409503664850265e-05	-5.40665377957344e-05	-5.410849234976635e-05	-5.409779587352745e-05	-5.40797498251765e-05	-5.404001698480165e-05	-5.408963645095355e-05	-5.406481059253125e-05	-5.405660816905345e-05	-5.4054468873803696e-05
-8.94969042565251e-05	-8.95491575283807e-05	-8.948444832640019e-05	-8.952942011091974e-05	-8.95151581426045e-05	-8.95693464553917e-05	-8.950988336436664e-05	-8.95174443576273e-05	-8.953756878327259e-05	-8.953325435867995e-05
-0.00012425350738337498	-0.00012419590049828451	-0.000124158919716104	-0.000124236507690546	-0.000124205962711117	-0.00012416354948077351	-0.0001242283948522075	-0.000124210019130237	-0.0001241830575600245	-0.000124206851396635
-0.00015713231812698	-0.000157140187293359	-0.000157227952149704	-0.0001571174398123	-0.0001571710906137195	-0.00015723316959334748	-0.0001572008759103225	-0.0001571597240399515	-0.00015722666212238999	-0.000157192978076602
-0.00018860446878535698	-0.0001886153766827445	-0.0001885436081647385	-0.000188617899402788	-0.0001885910955025105	-0.0001885321269219	-0.000188498242205214	-0.0001885747264896185	-0.00018854488385843101	-0.00018856852002500801
-0.0002182552729208985	-0.000218158477873651	-0.0002181883205048385	-0.0002182248712778815	-0.000218193724285857	-0.0002182364385225475	-0.00021826598014738801	-0.0002182004610949555	-0.000218208430596882	-0.0002181689127610365
-0.00024349201936273596	-0.00024356211084525348	-0.00024347986443899747	-0.00024344454635868398	-0.0002435384316777135	-0.00024349740881003448	-0.00024354049572137648	-0.00024347321363162798	-0.00024352148931937052	-0.0002435500992578285
-0.000267621005041321	-0.000267560201755287	-0.0002676602792053055	-0.000267647751607014	-0.000267555528989753	-0.0002675883816846075	-0.0002675475594878265	-0.00026763069457960047	-0.0002675746213935865	-0.0002675998485938245
-0.0002885151182999535	-0.0002884884004015035	-0.00028842928848457947	-0.00028847604480686695	-0.000288448724895723	-0.000288456264388512	-0.00028847759283966346	-0.00028856333665320996	-0.0002885825150587725	-0.00028852004907097
-0.00030613138689655897	-0.00030616231888416247	-0.00030619150216807154	-0.000306151281984083	-0.0003061695143696415	-0.0003061884634371615	-0.000306179547915231	-0.0003061221847020015	-0.0003061789172351955	-0.000306159968167774
-0.0003219241875922785	-0.000321945028699708	-0.0003219038911629585	-0.000321911373321163	-0.000321944254683359	-0.000321890245541008	-0.000321896695677381	-0.000321965726470824	-0.000321913638035724	-0.000322090515110214
-0.000334883027680912	-0.00033486677333709045	-0.000334845215547798	-0.0003349186611012925	-0.00033490728019390303	-0.000334945493668813	-0.0003349435729614635	-0.00033492144182671997	-0.000334935345454153	-0.000334950567776143
-0.0003436335120932105	-0.000343544328206958	-0.00034357901560723604	-0.0003435851217363975	-0.000343603841465678	-0.0003435757475380865	-0.00034360292411291703	-0.0003436048448202665	-0.0003436832211445805	-0.00034353870942142
-0.0003457245316531495	-0.000345755578309725	-0.0003457667585462165	-0.000345729204418585	-0.00034572289761852554	-0.000345779658819061	-0.00034575070487339145	-0.000345730465778656	-0.000345738005271445	-0.0003457609104225375
-0.00034614169780983753	-0.000346202587097699	-0.0003462125346413625	-0.0003462622150254895	-0.00034620892256500153	-0.000346181946661069	-0.0003462369878252515	-0.0003462027304340125	-0.0003461455105570965	-0.00034621878410693604
-0.00034323308762396746	-0.00034311790252102947	-0.0003432157439238285	-0.0003431464837922445	-0.000343223054078378	-0.00034312151459748897	-0.0003431453657685855	-0.0003431999482563875	-0.0003432074877491765	-0.00034311850453382195
-0.0003350627428153155	-0.0003351212240523025	-0.000335075270413607	-0.000335027023393206	-0.000335039493656913	-0.0003351651423144795	-0.000335122886754071	-0.000335036110918693	-0.000335060736106237	-0.0003351255528105265
-0.000322572669974748	-0.00032248724150126846	-0.00032251461874689853	-0.00032263777335176297	-0.00032257086393656746	-0.0003225102613214315	-0.000322530701087065	-0.0003225776867474935	-0.0003225648151419905	-0.000322562091751049
-0.0003056425238901695	-0.0003057363232073715	-0.000305650034715617	-0.000305607607151652	-0.00030560881117704	-0.00030558054524589196	-0.000305624004831787	-0.000305578423867743	-0.00030560780782255	-0.00030560881117704
-0.000288489919767057	-0.0002885538764530715	-0.00028852340314184847	-0.00028854100484747	-0.000288514802959985	-0.00028858558245702397	-0.0002884817782614755	-0.0002885431835602035	-0.0002885547651385895	-0.0002885304839583555
-0.0002676349086686555	-0.0002675328245095585	-0.000267640613456021	-0.00026765660979436	-0.0002675863176409445	-0.000267648353619708	-0.000267648869630673	-0.00026771033226398553	-0.0002676307519140865	-0.00026768080497276646
-0.0002439188463904605	-0.000244051661866263	-0.0002439484596834085	-0.00024391296959943998	-0.0002440728756482455	-0.0002439328360196225	-0.00024398323308561252	-0.000243944560934322	-0.0002440967268194405	-0.00024396001259445303
-0.000218141033838063	-0.00021806436321638198	-0.000218119490382392	-0.000218171120141013	-0.0002180338469042945	-0.0002181528160872485	-0.00021810809514138097	-0.00021812326012878648	-0.0002180287441297215	-0.0002181374217616035
-0.00018861093325545	-0.000188636318125623	-0.0001886460793321085	-0.00018856793234593548	-0.0001886803080561045	-0.00018858483170331548	-0.00018869459869161348	-0.00018865672922401352	-0.000188654034500315	-0.000188603221759006
-0.00015741765782873398	-0.00015734495762444398	-0.000157336271440753	-0.000157375961280155	-0.00015733519641795851	-0.000157317809716955	-0.000157289973794846	-0.00015733595610068602	-0.000157350461740813	-0.0001573471363371775
-0.00012402938664307249	-0.0001241701716208015	-0.000124109683674736	-0.000124107734300242	-0.0001241290770849165	-0.00012418861901097798	-0.000124108135642038	-0.000124130524782264	-0.00012408497248546298	-0.00012415483462974102
-8.957983151049184e-05	-8.94567127397796e-05	-8.950743947934974e-05	-8.95008460065549e-05	-8.94794172199938e-05	-8.950129751610496e-05	-8.956976929766921e-05	-8.948280712502455e-05	-8.95343938827909e-05	-8.9506923468434e-05
-5.388084911828155e-05	-5.393343923060685e-05	-5.391636070271185e-05	-5.390322392486635e-05	-5.393456083765645e-05	-5.3881497715339e-05	-5.388141171352135e-05	-5.3901761893936746e-05	-5.39157515231677e-05	-5.38996297655076e-05
-1.81453983714159e-05	-1.8123491199727498e-05	-1.81003208763319e-05	-1.811951719901485e-05	-1.811823792195145e-05	-1.8136966609747848e-05	-1.81053179403503e-05	-1.812679331123545e-05	-1.8133110861525852e-05	-1.815317078580545e-05
1.869629377324725e-05	1.8701079416136752e-05	1.865945991084965e-05	1.865892956630255e-05	1.869598201664965e-05	1.870696695732905e-05	1.87131626716988e-05	1.86781187221649e-05	1.87124119474872e-05	1.86827251945985e-05
5.463074914586714e-05	5.468842769914395e-05	5.46501282224163e-05	5.466824593895355e-05	5.4640105427097105e-05	5.4688406198692e-05	5.464447001941425e-05	5.46541058065491e-05	5.4652905364492596e-05	5.468632782139765e-05
8.984352025436434e-05	8.9787504402925e-05	8.98499775576072e-05	8.98192820750441e-05	8.985716587631484e-05	8.977317076642345e-05	8.98071988194722e-05	8.978999845567626e-05	8.98243776828162e-05	8.979179016023525e-05
0.0001248920995567655	0.00012492790498070248	0.0001248852624121195	0.0001248894191666885	0.00012487630388932449	0.000124933781771723	0.000124903537798641	0.000124922515533404	0.0001248278418643055	0.00012493441245165998
0.00015810557204531999	0.0001580550316430165	0.0001580813338659505	0.0001580864796414865	0.0001580893607024615	0.0001580856769578945	0.00015809562450155802	0.00015814048878383752	0.00015814808561121098	0.0001580499288684435
0.000189197006984603	0.0001891999740474055	0.0001892157267138835	0.00018914580723502098	0.000189234303106752	0.000189232181728603	0.000189258655955192	0.00018917725523349098	0.00018924327596326699	0.0001891650286415465
0.00021858077547225348	0.000218585319234997	0.0002185498578182715	0.00021867966323040698	0.00021852243757167848	0.000218562328082077	0.00021851094199521848	0.000218562958762014	0.0002185508468392385	0.00021857296364036048
0.000245054271072167	0.0002450403101101495	0.000245086464419743	0.00024504561355571903	0.00024513580079656	0.00024503841807014154	0.000245075198181424	0.000245086665090641	0.000245070324744992	0.0002450446102011305
0.00026773659148605504	0.000267708956234844	0.000267711192282162	0.0002676406994578485	0.0002677535051770565	0.00026772750396046954	0.0002677265006059795	0.000267702391429302	0.000267729424667819	0.000267694421927474
0.000289111770252904	0.00028919648204461904	0.00028922618133949297	0.000289271905639949	0.00028910910419654697	0.0002892610980780105	0.00028926267477805	0.0002892682935634895	0.0002891728602116635	0.0002892342081759055
0.0003071713495591965	0.0003071040961367895	0.000307072820141876	0.0003071205224841675	0.00030711266765141	0.0003070860644220305	0.000307086895772964	0.00030705917451992546	0.00030712496591146196	0.00030713307874980053
0.00032238042724205303	0.000322404364414977	0.000322432974353435	0.00032236577826551396	0.00032242735556789703	0.000322364688909098	0.0003223687023273535	0.0003223991756385765	0.000322420389420559	0.000322357321419964
0.000336603236064556	0.0003366694001306455	0.000336622414470217	0.00033668791918902796	0.000336675305588909	0.0003366664187342215	0.000336714665754721	0.0003366795483453055	0.000336588185746221	0.000336648587690459
0.0003435659433307365	0.000343547395605111	0.00034358672710368	0.0003435099848138915	0.000343493357795517	0.000343508981459303	0.0003435482556232875	0.00034359822268014003	0.0003435150589212215	0.00034350835077926747
0.0003465129963296575	0.000346467702038339	0.000346532088733491	0.00034658483651586947	0.0003465698148647775	0.00034662755075256	0.00034652222719155646	0.00034651829977522697	0.00034663526224900396	0.0003465758063248685
0.00034699595387788196	0.0003471040294971685	0.0003469122454407555	0.000346954701672062	0.000347005356743436	0.000346969923994052	0.000346969579986742	0.000347074760211432	0.00034696433387575696	0.000346987841039642
0.000344289619970395	0.0003441491216653915	0.0003443119517760365	0.0003442240865842425	0.000344187019800333	0.0003442197578260185	0.0003443404183780825	0.0003441944446240515	0.000344320351287002	0.00034425005913358653
0.0003358706725703085	0.000335912039445199	0.0003358754026703285	0.00033588818827410253	0.0003359787481894965	0.0003359629238548125	0.000335891112335942	0.00033581795345527147	0.000335817867453444	0.00033584945878832595
0.0003227681521093495	0.000322920690669021	0.00032290466566334047	0.0003228935140941905	0.0003227408895326915	0.00032280791361695747	0.00032274223689459	0.00032293161290003	0.0003228218459116335	0.0003228500831755385
