########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	43078
file                           	Q14-044_Q_BOA_140.0A_201116_124318.dat
date                           	16/11/2020
hour                           	12:43:18
operator                       	Lucas Balthazar
software_version               	v3.6
bench                          	1
temperature(C)                 	23.438
integrator_gain                	50
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+1.399973e+02
main_coil_current_std(A)       	+4.701623e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+4.000400e+00
trim_coil_current_std(A)   	+1.732172e-02

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_2020-08-06_r=13mm_b1_CALIBRATED
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	232433
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.0129575
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	Etapa 5 - Medida 6
Main = 140A
Trim = -10 a 10A
Fator = 1.5%
Rampas de excitação M6



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +1.110166e-05   	  +2.787442e-07   	  -4.063342e-07   	  +1.304923e-07   	  +1.110909e-05   	  +2.785986e-07   	  -3.658487e-02   	  +1.177441e-02   	  -1.781452e-04   	  +4.472929e-06   	  +6.520328e-06   	  +2.093974e-06   
2   	  -5.193171e+00   	  +1.927923e-05   	  +8.913036e-04   	  +1.589016e-05   	  +5.193171e+00   	  +1.927923e-05   	  -8.581497e-05   	  +1.529910e-06   	  +1.000000e+00   	  +5.250155e-06   	  -1.716299e-04   	  +3.059819e-06   
3   	  +6.176795e-02   	  +1.213175e-03   	  -9.362215e-02   	  +8.224190e-04   	  +1.121623e-01   	  +9.579153e-04   	  -3.291973e-01   	  +3.296734e-03   	  -1.427289e-04   	  +2.803316e-06   	  +2.163352e-04   	  +1.900386e-06   
4   	  -2.965859e+00   	  +1.451381e-01   	  -2.338159e-01   	  +9.649886e-02   	  +2.975061e+00   	  +1.448878e-01   	  +1.966828e-02   	  +8.140528e-03   	  +8.223949e-05   	  +4.024494e-06   	  +6.483416e-06   	  +2.675790e-06   
5   	  +5.348879e+01   	  +8.516046e+00   	  +1.120340e+01   	  +9.621532e+00   	  +5.464949e+01   	  +8.565379e+00   	  +4.129367e-02   	  +3.505116e-02   	  -1.779811e-05   	  +2.833669e-06   	  -3.727866e-06   	  +3.201514e-06   
6   	  +1.038129e+05   	  +5.486368e+02   	  -1.686224e+03   	  +8.547647e+02   	  +1.038266e+05   	  +5.487401e+02   	  -2.706913e-03   	  +1.371996e-03   	  -4.145184e-04   	  +2.190672e-06   	  +6.732978e-06   	  +3.413021e-06   
7   	  -1.136667e+05   	  +5.934778e+04   	  +3.185177e+05   	  +3.934609e+04   	  +3.381917e+05   	  +4.208457e+04   	  -1.754317e-01   	  +2.426280e-02   	  +5.446368e-06   	  +2.843663e-06   	  -1.526185e-05   	  +1.885277e-06   
8   	  +4.885543e+06   	  +5.549727e+06   	  -6.468980e+05   	  +4.225201e+06   	  +4.928185e+06   	  +5.529592e+06   	  -1.645561e-02   	  +1.078368e-01   	  -2.809107e-06   	  +3.190998e-06   	  +3.719554e-07   	  +2.429418e-06   
9   	  +5.508502e+08   	  +5.446657e+08   	  +7.507040e+08   	  +6.116265e+08   	  +9.311243e+08   	  +5.890576e+08   	  +1.041954e-01   	  +6.789858e-02   	  -3.800744e-06   	  +3.758081e-06   	  -5.179709e-06   	  +4.220097e-06   
10  	  -1.939086e+13   	  +4.166154e+10   	  +1.164652e+11   	  +5.366795e+10   	  +1.939121e+13   	  +4.166204e+10   	  -6.006119e-04   	  +2.767623e-04   	  +1.605515e-03   	  +3.449478e-06   	  -9.643031e-06   	  +4.443574e-06   
11  	  +6.586530e+12   	  +2.455596e+12   	  -8.175645e+12   	  +2.593399e+12   	  +1.049874e+13   	  +2.540054e+12   	  -8.114845e-02   	  +2.174058e-02   	  -6.544185e-06   	  +2.439807e-06   	  +8.123077e-06   	  +2.576725e-06   
12  	  -3.043090e+14   	  +3.273232e+14   	  +4.510616e+13   	  +2.689774e+14   	  +3.076338e+14   	  +3.261787e+14   	  -1.226278e-02   	  +7.323756e-02   	  +3.628225e-06   	  +3.902624e-06   	  -5.377903e-07   	  +3.206975e-06   
13  	  -1.010068e+16   	  +2.192490e+16   	  -3.425332e+16   	  +2.915380e+16   	  +3.571154e+16   	  +2.864271e+16   	  +9.877245e-02   	  +4.865589e-02   	  +1.445145e-06   	  +3.136886e-06   	  +4.900761e-06   	  +4.171155e-06   
14  	  +4.180569e+20   	  +1.570300e+18   	  -3.611435e+18   	  +2.464704e+18   	  +4.180725e+20   	  +1.570385e+18   	  -6.170289e-04   	  +4.210906e-04   	  -7.177576e-04   	  +2.696032e-06   	  +6.200437e-06   	  +4.231625e-06   
15  	  -1.884162e+20   	  +1.092098e+20   	  +2.130959e+20   	  +8.971773e+19   	  +2.844477e+20   	  +9.874504e+19   	  -5.645251e-02   	  +2.369997e-02   	  +3.881875e-06   	  +2.250014e-06   	  -4.390346e-06   	  +1.848425e-06   

magnetic_center_x(um) 	2.138
magnetic_center_y(um) 	-0.078


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
2.197992384936165e-05	2.1960068179400202e-05	2.1896797716182347e-05	2.199225973527105e-05	2.19533421204735e-05	2.196409055614205e-05	2.1943788751746e-05	2.197209768382745e-05	2.19603960613343e-05	2.19652354553586e-05
6.45526571679555e-05	6.456691196945016e-05	6.460346274252269e-05	6.458725856646511e-05	6.46058779602769e-05	6.456843133491499e-05	6.46410312037954e-05	6.455682108935494e-05	6.457587765908545e-05	6.460264572524025e-05
0.0001071042501643795	0.000107078506953275	0.0001071230988964505	0.000107110556964439	0.000107105217684865	0.00010712968520237551	0.000107120870015894	0.00010715137199436	0.0001071364506788155	0.00010709194473746749
0.0001481163604330115	0.000148130006054962	0.0001481113579938875	0.0001480922942573955	0.00014808312072998251	0.0001481359831814315	0.000148018418694862	0.000148050984716991	0.0001480746065499465	0.000148115228075731
0.0001872209001885965	0.0001871663177007945	0.000187237914215047	0.000187185223767253	0.0001872130453557405	0.00018711500328204351	0.0001872076702420635	0.0001872243115940595	0.00018725763729891598	0.000187209791620311
0.000224869472149281	0.00022484420194817848	0.0002248482583672985	0.00022489580303955648	0.000224837895148119	0.0002249133904115565	0.0002248748759302995	0.0002248752486048525	0.000224804712779576	0.000224861531314696
0.000258951993018831	0.00025900591615935447	0.000259006575506633	0.0002589825809991245	0.0002590225145103875	0.000258968763373519	0.00025899080850653355	0.000259025782579537	0.0002590420942578445	0.00025902787529044304
0.0002905114498571725	0.000290445515129224	0.000290437402290984	0.00029053148828101	0.0002905187886790635	0.000290565372997696	0.0002905122238735215	0.00029045282528387197	0.0002904644355294025	0.000290373359603142
0.0003179813481983795	0.000317977850791089	0.000318048486951716	0.0003179658965382485	0.00031793808928338253	0.000317949470190772	0.0003179312378052135	0.000318017927638764	0.00031796308714547946	0.000317966555885527
0.0003431745777197375	0.0003431744057160825	0.0003430687954823535	0.00034304763903495546	0.00034316637887967	0.000343143760401303	0.0003431694749451645	0.000343101562175479	0.000343138915632114	0.0003431685289251605
0.0003638927025894965	0.000363986501906797	0.0003639740603102345	0.00036403067817445653	0.00036391867513884047	0.000363862458616513	0.000363919305818876	0.000363915722409758	0.000363999172841402	0.00036393633417904645
0.0003826671863498305	0.000382511781062904	0.00038262209272941003	0.0003825619201234115	0.0003826529960497705	0.000382629574887713	0.0003825544092978655	0.0003826123458566445	0.0003825214419339405	0.00038272090881945597
0.00039901128737259746	0.00039905787169122996	0.00039886476894026	0.000399049787520233	0.0003989416258992175	0.0003989676844502905	0.000399051163549276	0.000399030236440019	0.00039911939165902853	0.00039897682931046047
0.0004070947130094595	0.00040711801950234797	0.00040722652513067354	0.0004071828648738805	0.000407111598033218	0.0004072562530927905	0.000407116700807791	0.00040710761328230404	0.000407088205538502	0.00040708562548387396
0.000411253072961699	0.0004112992846057785	0.0004112457914743925	0.000411186077544676	0.0004113862897792975	0.000411187166901092	0.00041138207569024244	0.000411212967446781	0.00041126041178359	0.000411357909179079
0.000411400824086766	0.0004113721568137235	0.00041146538278557295	0.00041141183231960254	0.0004112917164457465	0.00041143794820526	0.00041133351332977447	0.00041148479052937497	0.0004114506191399635	0.00041140185610859747
0.00040785198769298	0.00040784221215287296	0.00040790195474983253	0.000407888681802435	0.0004079076022026135	0.000407782870897808	0.000407793420454264	0.000407899604033444	0.00040779356379057753	0.00040780591938531247
0.00039836180163544104	0.000398323788831429	0.00039822752412876797	0.00039821694590497046	0.000398322412802386	0.00039831335394414203	0.000398327687580614	0.00039827172906367045	0.00039834967537904397	0.0003982922261638885
0.00038250062949375397	0.00038253798295048746	0.000382609479129291	0.0003826925855537235	0.00038259571883827	0.00038261615860390346	0.000382606641069279	0.0003825883226817945	0.0003825052162574605	0.00038255589999607747
0.00036453820357564053	0.00036455379857218347	0.000364517993148148	0.00036440111667619847	0.000364497467380687	0.00036445131307119203	0.000364554056577666	0.00036447456222959447	0.0003645304920791965	0.0003645432776829705
0.000342341076757295	0.0003422793847858415	0.0003423007132368945	0.0003423639819083875	0.0003422922277241015	0.000342393967875987	0.00034229042168592097	0.00034230183126055354	0.0003423685113375095	0.000342252036207356
0.00031830279433051604	0.0003183247247943615	0.000318281723884847	0.00031826343416470397	0.00031831093583609745	0.000318251193239138	0.0003182065296277565	0.0003182711169938065	0.00031815862661456695	0.000318346081912756
0.00029016448985207246	0.00029023177194172246	0.000290148464846392	0.000290171226661171	0.000290182664903145	0.0002901638018374525	0.000290222025068957	0.000290196081186856	0.000290272651473088	0.0002901796261721365
0.00025914968253350754	0.0002590904559474145	0.000259159830748069	0.0002591982735612185	0.000259103528223914	0.0002591877526720055	0.000259141713031581	0.000259129443438772	0.0002591414836933415	0.00025916906160996795
0.00022516068864205548	0.0002251458819955815	0.0002250968466251115	0.000225063277248394	0.000225134529755435	0.00022507045840025147	0.00022518630285046798	0.000225103282427863	0.000225098795999704	0.0002251485767191815
0.0001869523451750535	0.0001869278489903	0.00018698915395357898	0.000187006411651989	0.000187002985912806	0.0001869643567624785	0.00018690197677640502	0.0001869821448053765	0.000187011313755664	0.0001869077102310135
0.00014794161907048898	0.000147918728253018	0.00014794295209866748	0.00014788931563086948	0.00014793075417396598	0.0001479127511265485	0.000147908924045668	0.00014794769653230901	0.0001478719002625245	0.000147977524829875
0.00010688506736185499	0.00010694724667703049	0.0001068868518996525	0.00010686269972211049	0.0001068878337537595	0.00010691364863307	0.000106941068879663	0.00010687200225221549	0.000106950980589322	0.00010690147220885
6.48660621300186e-05	6.481558622909066e-05	6.4858379300857e-05	6.492641390650256e-05	6.48958187593983e-05	6.483791803475184e-05	6.481107113359016e-05	6.492751042969975e-05	6.483440629381029e-05	6.48430709770789e-05
2.206845018009005e-05	2.207125598942905e-05	2.20526222619859e-05	2.20599969179602e-05	2.2057725036578602e-05	2.206963987191565e-05	2.213743976426535e-05	2.20396431541345e-05	2.2065748289610352e-05	2.208846172834045e-05
-2.113336673573645e-05	-2.11281170413707e-05	-2.114948849339655e-05	-2.11217116975575e-05	-2.115310236149225e-05	-2.112889643285485e-05	-2.122446416251785e-05	-2.11523982216047e-05	-2.1094384619573202e-05	-2.11473832405348e-05
-6.409648918633775e-05	-6.41022226409364e-05	-6.405474247003425e-05	-6.406879660062105e-05	-6.407944649254574e-05	-6.405750886187965e-05	-6.40888995258144e-05	-6.410917445464304e-05	-6.410759775462324e-05	-6.408773850126135e-05
