########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	954
file                           	Q14-010_Q_BOA_130.0A_180405_102602.dat
date                           	05/04/2018
hour                           	10:26:02
operator                       	Lucas Balthazar
software_version               	v3.1
bench                          	1
temperature(C)                 	23.6
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+1.299962e+02
main_coil_current_std(A)       	+4.103913e-04
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-3_31-03-2018_r=13mm
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	282843
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013013
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	 



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  -9.190528e-07   	  +3.883081e-07   	  +1.969049e-05   	  +2.193142e-07   	  +1.971193e-05   	  +2.198226e-07   	  +0.000000e+00   	  +0.000000e+00   	  +1.653086e-05   	  +6.984447e-06   	  -3.541702e-04   	  +3.944777e-06   
2   	  -4.633010e+00   	  +1.991407e-05   	  +3.118474e-03   	  +1.888618e-05   	  +4.633011e+00   	  +1.991407e-05   	  -3.365494e-04   	  +2.038219e-06   	  +1.000000e+00   	  +6.078717e-06   	  -6.730989e-04   	  +4.076440e-06   
3   	  -1.225695e-01   	  +9.250124e-04   	  -7.337796e-02   	  +1.237634e-03   	  +1.428552e-01   	  +1.016871e-03   	  +0.000000e+00   	  +0.000000e+00   	  +3.174684e-04   	  +2.395883e-06   	  +1.900569e-04   	  +3.205608e-06   
4   	  -5.135014e+00   	  +9.407903e-02   	  +2.093944e+00   	  +1.338657e-01   	  +5.545536e+00   	  +1.007169e-01   	  +0.000000e+00   	  +0.000000e+00   	  +1.596030e-04   	  +2.924099e-06   	  -6.508251e-05   	  +4.160720e-06   
5   	  -4.200227e+00   	  +1.132182e+01   	  +6.724707e+01   	  +8.057080e+00   	  +6.737812e+01   	  +8.072322e+00   	  +0.000000e+00   	  +0.000000e+00   	  +1.566572e-06   	  +4.222765e-06   	  -2.508153e-05   	  +3.005095e-06   
6   	  +8.356501e+04   	  +6.638825e+02   	  -2.580974e+03   	  +9.073920e+02   	  +8.360486e+04   	  +6.641571e+02   	  +0.000000e+00   	  +0.000000e+00   	  -3.740126e-04   	  +2.971345e-06   	  +1.155169e-05   	  +4.061222e-06   
7   	  +1.078225e+05   	  +6.789638e+04   	  +2.216539e+05   	  +9.334886e+04   	  +2.464876e+05   	  +8.904320e+04   	  +0.000000e+00   	  +0.000000e+00   	  -5.790982e-06   	  +3.646613e-06   	  -1.190469e-05   	  +5.013627e-06   
8   	  +8.491051e+06   	  +5.974199e+06   	  +8.043295e+06   	  +7.604990e+06   	  +1.169583e+07   	  +6.794425e+06   	  +0.000000e+00   	  +0.000000e+00   	  -5.472497e-06   	  +3.850383e-06   	  -5.183928e-06   	  +4.901431e-06   
9   	  +1.042210e+08   	  +5.599397e+08   	  -4.500474e+08   	  +4.661048e+08   	  +4.619575e+08   	  +4.713323e+08   	  +0.000000e+00   	  +0.000000e+00   	  -8.060562e-07   	  +4.330587e-06   	  +3.480681e-06   	  +3.604866e-06   
10  	  -1.656157e+13   	  +4.798731e+10   	  +1.423514e+10   	  +3.211429e+10   	  +1.656158e+13   	  +4.798730e+10   	  +0.000000e+00   	  +0.000000e+00   	  +1.537051e-03   	  +4.453625e-06   	  -1.321141e-06   	  +2.980472e-06   
11  	  +1.152759e+12   	  +4.340878e+12   	  -9.736585e+09   	  +4.022822e+12   	  +1.152800e+12   	  +4.340856e+12   	  +0.000000e+00   	  +0.000000e+00   	  -1.283838e-06   	  +4.834433e-06   	  +1.084278e-08   	  +4.480215e-06   
12  	  -3.352501e+14   	  +2.914739e+14   	  -6.216505e+14   	  +4.481163e+14   	  +7.062875e+14   	  +4.179786e+14   	  +0.000000e+00   	  +0.000000e+00   	  +4.480420e-06   	  +3.895372e-06   	  +8.307970e-06   	  +5.988802e-06   
13  	  -7.040187e+15   	  +2.912805e+16   	  -4.238292e+15   	  +1.744973e+16   	  +8.217503e+15   	  +2.652821e+16   	  +0.000000e+00   	  +0.000000e+00   	  +1.129054e-06   	  +4.671345e-06   	  +6.797059e-07   	  +2.798460e-06   
14  	  +3.517742e+20   	  +1.744144e+18   	  +6.013598e+18   	  +1.923190e+18   	  +3.518256e+20   	  +1.744199e+18   	  +0.000000e+00   	  +0.000000e+00   	  -6.769798e-04   	  +3.356560e-06   	  -1.157300e-05   	  +3.701127e-06   
15  	  +1.730572e+19   	  +1.813581e+20   	  +8.281687e+19   	  +2.208510e+20   	  +8.460568e+19   	  +2.193412e+20   	  +0.000000e+00   	  +0.000000e+00   	  -3.996601e-07   	  +4.188225e-06   	  -1.912540e-06   	  +5.100261e-06   

magnetic_center_x(um) 	0.198
magnetic_center_y(um) 	-4.25


##### Raw Data Stored(V.s) [1e-12] #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
1.934306237672e-05	1.936802073033e-05	1.935169893841e-05	1.935641375894e-05	1.942343078554e-05	1.942649942066e-05	1.940968468261e-05	1.931794395205e-05	1.928236997628e-05	1.943411007232e-05
5.78296603635e-05	5.78764884267e-05	5.781068830402e-05	5.791467265226e-05	5.784812674392e-05	5.7841247326e-05	5.787483314634e-05	5.778455306427e-05	5.779222919955e-05	5.785116081825e-05
9.601938654669e-05	9.598600445315e-05	9.601261263015e-05	9.600488556316e-05	9.606566891307e-05	9.589648834663e-05	9.605679224478e-05	9.601737110643e-05	9.601785131963e-05	9.595683513908e-05
0.0001327238278463	0.0001327716599917	0.0001328526559519	0.0001327524951193	0.0001327884092461	0.0001328273501713	0.0001327208738076	0.0001328749785898	0.0001328699145233	0.0001327093777945
0.0001685385796009	0.0001684821909294	0.0001684898743406	0.0001685538882157	0.0001684985327302	0.0001685468305368	0.0001684321032371	0.0001684792223386	0.0001684725139057	0.0001685242896201
0.0002024324639933	0.0002024297864409	0.0002024862042163	0.0002024675632128	0.0002024368004641	0.0002024310670095	0.0002024301938945	0.0002025006251642	0.0002023828128586	0.0002024016575888
0.0002328183763893	0.0002327394031454	0.000232757156482	0.0002327639231225	0.0002327939291717	0.0002328144764761	0.0002329147973796	0.0002327375550522	0.0002327656693524	0.0002328749833396
0.0002612287935335	0.0002612506214064	0.0002611935778987	0.0002612454118207	0.0002611413947307	0.0002611026866361	0.0002611476520542	0.0002611374657135	0.0002613007382024	0.0002612324606162
0.0002860397507902	0.0002859865198843	0.0002860123349819	0.0002860378299374	0.0002860774693545	0.0002860492095351	0.0002860471431632	0.0002860490349121	0.0002860601234715	0.0002860438544303
0.0003087467921432	0.0003087988879997	0.0003087687073275	0.0003087178338319	0.0003087410295848	0.0003087497898377	0.0003087292134296	0.0003088188532274	0.0003087021177635	0.0003086851502303
0.0003278016811237	0.0003277227224316	0.0003277279320173	0.0003277032519691	0.0003277332289144	0.0003278318035882	0.0003277420473751	0.0003276861971244	0.0003276266797911	0.0003277842188254
0.0003441806766205	0.000344183848938	0.0003442234010436	0.0003442156303208	0.0003443067253102	0.0003441414155532	0.000344235508237	0.0003441763110459	0.000344301428413	0.0003440773871262
0.0003590602136683	0.0003590518899728	0.0003590789274313	0.0003590604173951	0.0003590778214857	0.0003590738633648	0.0003590742708184	0.0003590779087972	0.0003591464483179	0.0003592168795876
0.0003668499994092	0.0003668410645332	0.0003668821591418	0.0003668530553114	0.0003668092540465	0.0003668831195682	0.0003667722048704	0.0003669336147141	0.0003667169658002	0.0003668229910545
0.0003698231303133	0.0003697849751916	0.0003697804932017	0.0003698563959915	0.0003697716165334	0.0003697728388943	0.0003699004009832	0.000369716406567	0.0003698497312143	0.0003697487991303
0.0003696180356201	0.000369686371414	0.000369616842363	0.0003696552885231	0.0003696384956129	0.000369685847545	0.0003695537161548	0.0003697063657455	0.0003696739731822	0.0003696535131894
0.0003676805354189	0.0003676544583868	0.0003676898195408	0.0003676278865896	0.000367663189536	0.0003675883635879	0.0003676998021547	0.0003675851039588	0.0003675524785649	0.0003675841144286
0.000358822173439	0.0003588467952795	0.0003588561085053	0.0003588511608541	0.0003588289255276	0.00035887726699	0.0003587997052819	0.0003588849504013	0.0003588201652747	0.0003588479594328
0.0003438036364969	0.0003437284030952	0.0003437515115365	0.000343834864907	0.000343719497323	0.0003438102430664	0.0003437107661739	0.0003437207487877	0.0003438934509177	0.0003438409767114
0.0003277677460574	0.0003278262156527	0.0003278332587797	0.0003276757197455	0.0003278391959611	0.0003277683863416	0.0003277923678979	0.0003278026706539	0.0003277068026364	0.000327788759023
0.0003081898612436	0.0003081987379119	0.0003082016191911	0.0003082733019255	0.0003081840986852	0.0003081977483816	0.0003082356124651	0.000308173825033	0.0003081806644332	0.0003082772018388
0.0002866814029403	0.0002865403657779	0.0002865042479243	0.0002866297727451	0.0002866555878427	0.0002865263377316	0.0002866545983125	0.0002866337599698	0.0002866009308491	0.0002865292481147
0.00026110408362	0.0002612211101223	0.000261152832536	0.0002610717783682	0.0002611822274048	0.0002611653180793	0.0002611828967929	0.0002611377567519	0.000261184934061	0.0002611655218061
0.0002329094713787	0.0002328995324206	0.0002329174603801	0.0002329636190552	0.0002329160197405	0.0002330648421776	0.0002329232520424	0.0002329834533157	0.0002330152346985	0.000232957827393
0.0002025093854172	0.0002025467110798	0.0002026011206908	0.0002024542045547	0.0002025905996561	0.0002025080611929	0.0002024331624852	0.000202463939786	0.0002024279528996	0.0002024616114795
0.0001684961171122	0.0001684620656306	0.0001684900198597	0.0001684973394731	0.0001684058806859	0.0001683450682322	0.0001684246817604	0.0001684235903667	0.0001684111339273	0.0001684395392658
0.000133076129714	0.000133026172989	0.0001331521634711	0.0001331009552814	0.0001330031227553	0.0001331113744527	0.0001330318918917	0.0001331080129603	0.0001331407838734	0.0001330516533926
9.607129322831e-05	9.599060285836e-05	9.595570008969e-05	9.601762576494e-05	9.598777978681e-05	9.604462684365e-05	9.605508239474e-05	9.605845116312e-05	9.60489269346e-05	9.605774539523e-05
5.837738353875e-05	5.830860391143e-05	5.838658034918e-05	5.840698213433e-05	5.834415060235e-05	5.839301593369e-05	5.83952460147e-05	5.833297836944e-05	5.820977094118e-05	5.836856871611e-05
1.977582542168e-05	1.983721631404e-05	1.972750942514e-05	1.981694731512e-05	1.992905345105e-05	1.97134231712e-05	1.983132278838e-05	1.981772766158e-05	1.983164111152e-05	1.98295674636e-05
-1.889425584523e-05	-1.894469642139e-05	-1.893022636068e-05	-1.896174944704e-05	-1.892801628856e-05	-1.893108856166e-05	-1.893859371194e-05	-1.89767597476e-05	-1.886251266114e-05	-1.890118983283e-05
-5.753673030995e-05	-5.752093420597e-05	-5.748318653787e-05	-5.748432522523e-05	-5.742826397181e-05	-5.746234819526e-05	-5.749747651862e-05	-5.754556332249e-05	-5.744237569161e-05	-5.759107443737e-05
-9.550333197694e-05	-9.549653623253e-05	-9.549716196489e-05	-9.554257849231e-05	-9.560026228428e-05	-9.543621854391e-05	-9.556264558341e-05	-9.545370994601e-05	-9.562476043357e-05	-9.551396942697e-05
-0.0001326492492808	-0.0001326198253082	-0.0001325467892457	-0.0001326277852058	-0.0001326500059804	-0.0001326573692495	-0.0001325898629148	-0.0001325013290625	-0.0001326261117356	-0.0001326393248746
